agglosID,n1000000,n100000,n50000,n20000,n10000,n7500,n5000,n2500,n1500,n1000,n750,n500,n400,n300,n250,n200,n175,n150,n125,n100,n90,n80,n70,n60,n50,n40,n30,n20,n10,n5,n0,a1000000,a100000,a50000,a20000,a10000,a7500,a5000,a2500,a1500,a1000,a750,a500,a400,a300,a250,a200,a175,a150,a125,a100,a90,a80,a70,a60,a50,a40,a30,a20,a10,a5,a0,CITY,COUNTRY,NSMALL B
6768,0,0,0,0,0,0,0,0,0,0.000104592,0.000209183,0.000418366,0.000941324,0.002823972,0.00533417,0.010982115,0.017780567,0.028762682,0.052191193,0.097479343,0.120280305,0.150716452,0.184917896,0.227486665,0.276853886,0.326953248,0.395146951,0.525991005,0.775232716,0.964229683,9561,0,0,0,0,0,0,0,0,0,0.003125468,0.005163102,0.008278077,0.014047505,0.029863918,0.046735566,0.077777372,0.109440522,0.153310483,0.232757398,0.358121763,0.411890551,0.476387206,0.540433396,0.60889275,0.67638467,0.732523691,0.791426658,0.870904991,0.961994639,0.996023874,384120.7183,Nioro du Rip,SEN,2647
6769,0,0,0,0,0,0,0,0,0,0,0,0.000412314,0.001099505,0.004947774,0.009208356,0.025151182,0.04095657,0.065695437,0.105002749,0.169048928,0.196536559,0.229384277,0.264018692,0.302913689,0.351017042,0.410940077,0.490516767,0.617647059,0.836586036,0.979521715,7276,0,0,0,0,0,0,0,0,0,0,0,0.004631476,0.01038608,0.035188962,0.057044711,0.125102649,0.181843106,0.258754021,0.361601316,0.499312175,0.549329372,0.602802731,0.652559532,0.701190072,0.751997579,0.803674568,0.856642955,0.916723398,0.977842235,0.9982868,378950.4155,Nisha,EGY,2554
677,0,0,0,0,0,0,0,0,0,0.000109022,0.000272554,0.001199237,0.002234941,0.006977378,0.014336331,0.033197056,0.051185609,0.082747343,0.129408558,0.200763151,0.235104933,0.27473426,0.319378577,0.367675116,0.419787408,0.482093213,0.560588716,0.67473426,0.857399836,0.980376124,18345,0,0,0,0,0,0,0,0,0,0.001894984,0.004218569,0.01303119,0.020636137,0.047110149,0.080712538,0.150793149,0.206850225,0.292376224,0.398781232,0.532139701,0.586657477,0.643101954,0.698911845,0.751427151,0.799321248,0.845970498,0.891659455,0.938667625,0.983439823,0.998570025,1096825.938,al-Hamul,EGY,7701
6773,0,0,0,0,0,0,0,0,9.26E-05,0.00015434,0.000277812,0.001111248,0.002068157,0.004290653,0.006760094,0.010124707,0.013211508,0.018026917,0.026824299,0.044110384,0.054296827,0.068712187,0.089455488,0.122515125,0.169897518,0.234010372,0.319977775,0.472002716,0.74348685,0.957649092,32396,0,0,0,0,0,0,0,0,0.005131505,0.007356637,0.010682943,0.026211922,0.039575978,0.06393614,0.085165794,0.108846553,0.127000481,0.151820447,0.189570057,0.25051528,0.280987844,0.319628201,0.368487269,0.435798881,0.517549458,0.608278697,0.702891175,0.820190567,0.946176772,0.993957901,1025112.158,Njabini,KEN,5504
6774,0,0,0,0,0,0,0,0.000190781,0.000496032,0.000782204,0.001259158,0.0028808,0.004502442,0.009004884,0.015148046,0.028445513,0.041304182,0.0590087,0.086672009,0.132287851,0.156307234,0.186775031,0.22594246,0.281326313,0.347699176,0.418288309,0.510855464,0.650812729,0.830605159,0.973176129,52416,0,0,0,0,0,0,0,0.011663464,0.023234621,0.029520344,0.037490681,0.055779585,0.069561846,0.098602132,0.13039227,0.186395527,0.232029291,0.286374337,0.358292511,0.455042161,0.498416529,0.547557807,0.603293557,0.671454601,0.740712281,0.800950783,0.862154181,0.927520516,0.97843657,0.997718007,2756485.589,Njeru,UGA,18225
6779,0,0,0,0,0,0,0,1.53E-05,3.06E-05,0.000122564,0.000505577,0.001777179,0.003431793,0.009774482,0.017679863,0.034501777,0.050710871,0.075070474,0.109342444,0.159088124,0.182926829,0.210948033,0.242339748,0.283337419,0.333895085,0.397521142,0.482228214,0.614229685,0.821424194,0.974874372,65272,0,0,0,0,0,0,0,0.000771203,0.001212627,0.003342548,0.009239466,0.023766498,0.037565775,0.078378198,0.119167311,0.189609452,0.246657334,0.320908814,0.4093413,0.514505537,0.557255083,0.602190672,0.646557672,0.69672743,0.749125762,0.802902828,0.858499789,0.919611396,0.977031793,0.997882649,3455944.15,Njombe Mjini,TZA,21794
6782,0,0,0,0,0,0,0,0,0,0,0,0.003256003,0.006512007,0.013838014,0.01994302,0.028083028,0.037444037,0.052503053,0.073260073,0.107855108,0.126170126,0.155881156,0.191290191,0.243386243,0.306064306,0.3996744,0.511192511,0.6996337,0.884004884,0.985347985,2457,0,0,0,0,0,0,0,0,0,0,0,0.037501737,0.066539621,0.116522407,0.149358194,0.18539474,0.220237336,0.268494217,0.324569189,0.40112011,0.436002707,0.485980159,0.538462061,0.605599686,0.674228747,0.75824975,0.835399031,0.927985969,0.983793745,0.998681426,123043.5812,Nkamba,COD,752
6784,0,0,0,0,0,0,0,0,0,0,0.000127291,0.000509165,0.000827393,0.00203666,0.003182281,0.00712831,0.010947047,0.017757128,0.030868126,0.053716904,0.066318737,0.082484725,0.100814664,0.127291242,0.17674389,0.275076375,0.377100305,0.559699593,0.824910896,0.975623727,15712,0,0,0,0,0,0,0,0,0,0,0.003304841,0.009820449,0.014105696,0.026109098,0.035200408,0.060661198,0.081465391,0.113595267,0.166336521,0.240408514,0.275481862,0.315649086,0.355758582,0.406018333,0.484490327,0.613549144,0.717380426,0.848466619,0.964889922,0.996779984,537175.2911,Nkampini,ZAF,2777
6789,0,0,0,0,0,0,0,0,8.65E-05,0.000201752,0.000778188,0.002853355,0.006542541,0.022653908,0.044933134,0.083928983,0.112866036,0.152121282,0.201147106,0.257954807,0.28475905,0.31479133,0.345717086,0.384280609,0.432672354,0.487087849,0.55450196,0.680049573,0.861079087,0.982649297,34696,0,0,0,0,0,0,0,0,0.002097716,0.003988662,0.010531602,0.027471166,0.049684434,0.124461541,0.207871153,0.327225727,0.401739703,0.489139715,0.581486438,0.66909321,0.70405359,0.739162573,0.771064988,0.805435073,0.842002159,0.875579141,0.907761489,0.949938714,0.986728507,0.99893984,2522165.555,Nkawkaw,GHA,15012
6791,0,0,0,0,0,0,0,0,0.0002331,0.0002331,0.000699301,0.006759907,0.016550117,0.032167832,0.044988345,0.067599068,0.082750583,0.098834499,0.122377622,0.151748252,0.174125874,0.195804196,0.222144522,0.257342657,0.308391608,0.369230769,0.444522145,0.574125874,0.787412587,0.972494172,4290,0,0,0,0,0,0,0,0,0.009885611,0.009885611,0.016055616,0.072412792,0.147447817,0.239155979,0.29843431,0.384278932,0.43254905,0.476912973,0.531623289,0.587868657,0.623998481,0.655297675,0.688924982,0.727501323,0.775579621,0.822206043,0.866662694,0.921760907,0.975136431,0.997851546,251654.0095,Nkenkaasu,GHA,1323
